"id","scan_time","pages","count_broken_link","mobile","count_images","count_alt_image","hl1","hl2","hl3","count_flash","count_script","count_frame","count_iframe","count_in_linked","count_out_linked","google","SNSuse","server"
"0","111.99806308746338","131","2","1","648","245","43","286","41","0","707","0","21","216","44","0","1","Apache/2.2.15 (CentOS)"
"1","59.861767292022705","268","19","1","765","576","405","234","129","0","2605","0","0","455","25","1010","0","Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips PHP/5.2.17"
"2","10.481703281402588","13","1","1","84","0","26","0","19","0","161","0","0","13","5","5","0","Apache"
"3","2.5277161598205566","14","1","0","85","2","0","0","0","0","40","0","0","15","0","24","0","Apache"
"4","2.2933971881866455","14","1","0","85","2","0","0","0","0","40","0","0","15","0","24","0","Apache"
"6","48.04660892486572","35","0","1","1","0","0","0","171","0","89","0","0","35","1","72","0","Apache/2.4.41 (FreeBSD) OpenSSL/1.0.2s-freebsd"
"8","466.72556924819946","974","237","1","36350","241","165","0","0","2","6182","4","10","2194","263","2770","0","nginx"
"9","27.4417245388031","133","1","0","3078","2708","76","4","2","116","668","2","181","184","1","6","0","Apache"
"11","5.913393974304199","31","1","0","268","161","29","0","28","28","356","2","45","38","0","152","0","Apache"
"12","8.350860595703125","52","0","0","219","14","50","126","41","0","365","0","0","116","6","386","0",\N
"13","11.761981725692749","34","4","1","157","0","90","196","866","0","364","0","1","34","10","139","0",\N
"14","7.836673259735107","58","0","0","884","322","48","174","247","0","285","0","1","58","1","79","0","nginx"
"17","51.4510657787323","103","1","0","6535","126","0","0","90","171","1391","2","8","257","7","243","0","Apache/2.2.3 (CentOS)"
"20","6.20100212097168","65","9","0","682","0","0","0","0","128","238","0","19","68","0","2330","0","Microsoft-IIS/7.5"
"21","6.9184653759002686","65","9","0","682","0","0","0","0","128","238","0","19","68","0","1240","0","Microsoft-IIS/7.5"
"22","7.813849210739136","65","9","0","682","0","0","0","0","128","238","0","19","68","0","1180","0","Microsoft-IIS/7.5"
"23","4.069555997848511","31","3","0","156","0","0","0","0","90","458","2","25","31","1","193","0","Apache"
"26","10.13073205947876","53","2","1","162","83","2","127","49","0","458","0","0","52","3","235","0","Apache/2.2.16 (Unix) mod_ssl/2.2.16 OpenSSL/0.9.8e-fips-rhel5 PHP/5.2.14"
"27","6.007702827453613","53","2","1","162","83","2","127","49","0","458","0","0","52","3","235","0","Apache/2.2.16 (Unix) mod_ssl/2.2.16 OpenSSL/0.9.8e-fips-rhel5 PHP/5.2.14"
"28","15.518638134002686","84","6","0","1711","443","63","0","0","130","773","0","90","157","4","205","0","Apache"
"29","11.690926551818848","36","7","0","650","386","23","0","0","69","193","2","0","186","6","231","0","Apache/2.2.14 (Unix) mod_ssl/2.2.14 OpenSSL/0.9.8e-fips-rhel5 PHP/5.2.12"
"31","155.43713927268982","284","0","1","10967","501","732","1","498","0","5466","0","1","525","7","352","0",\N
"32","11.904513120651245","81","0","0","2052","61","0","0","0","162","196","0","0","97","0","264","0","Apache/2.2.23 (Unix) PHP/5.1.6 DAV/2"
"33","210.60529494285583","859","85","1","7162","606","51","1439","790","0","17811","0","143","1037","106","1300","1","nginx"
"34","14.929231643676758","63","0","1","567","281","106","168","12","0","568","4","0","115","485","238","1","Apache"
"35","25.299211740493774","87","6","0","3011","1501","111","609","72","0","914","0","2","148","6","8","1","nginx"
"37","16.415537357330322","94","1","0","2231","1638","0","61","0","0","665","2","69","212","4","87","0","Apache"
"40","1.0251102447509766","8","0","1","35","0","0","0","0","0","6","3","0","8","0","0","0","Apache/2.2.15 (CentOS)"
"46","7.877131938934326","39","1","0","141","80","26","26","23","0","157","0","0","39","7","261","0","Microsoft-IIS/6.0"
"47","10.86271071434021","39","1","0","141","80","26","26","23","0","157","0","0","39","7","261","0","Microsoft-IIS/6.0"
"48","8.246532917022705","39","1","0","141","80","26","26","23","0","157","0","0","39","7","261","0","Microsoft-IIS/6.0"
"49","23.681353092193604","128","2","0","994","612","117","177","50","54","1579","0","209","137","13","310","0","Microsoft-IIS/5.0"
"50","23.182730674743652","128","2","0","994","612","117","177","50","54","1579","0","209","137","13","310","0","Microsoft-IIS/5.0"
"54","13.892022132873535","30","1","0","345","25","0","0","0","53","212","2","0","30","1","222","0","Microsoft-IIS/5.0"
"55","41.423789262771606","193","0","0","8261","3714","168","155","0","0","1692","0","53","201","21","627","1","Apache"
"56","16.606358766555786","75","36","1","882","100","36","36","52","0","237","0","46","75","4","5310","0","Microsoft-IIS/7.5"
"58","200.72985887527466","76","0","1","600","528","72","0","7","0","1003","0","0","76","5","5490","0",\N
"59","8.148189067840576","36","0","0","813","0","0","0","0","2","43","0","7","36","3","99","0","Apache/2.0.63 (Unix)"
"61","2.8710386753082275","20","4","0","114","12","0","3","0","0","147","0","0","42","0","138","0","Apache"
"64","58.06165099143982","214","0","1","2220","1759","767","306","53","0","3587","0","150","659","2","453","0","Apache"
"65","53.88477826118469","213","0","1","2220","1759","767","306","53","0","3585","0","150","658","2","453","0","Apache"
"66","1434.9407753944397","226","94","0","2092","1155","81","220","63","348","518","10","17","261","11","1040","0","WWW Server/1.1"
"67","147.14869451522827","226","94","0","2092","1155","81","220","63","348","518","10","17","261","11","1040","0","WWW Server/1.1"
